keywords,total_impressions,total_clicks,avg_position,effective_ctr
crystal jewelry,778334,30146,11.329610829103215,3.87314443413753
cuff bracelets,901217,31825,10.816100178890876,3.5313359601516616
dainty jewelry,880035,26939,11.326805778491172,3.0611282505809427
dangle earrings,785169,23138,11.176069730586372,2.946881499396945
dazzling jewelry,821180,39966,11.20830618892508,4.86689885287026
delicate bracelets,898843,29002,10.907532051282052,3.226592408240371
designer-inspired jewelry,759574,24897,10.79739837398374,3.277758322428098
drop earrings,1205417,56811,10.751633986928105,4.712974846049126
ear cuffs,910268,33841,10.970161290322581,3.7176963267960645
edwardian jewelry,830025,34975,11.003079416531603,4.2137285021535495
elegant and modern jewelry,873379,23906,10.512887438825448,2.737185116656114
elegant jewelry,745982,19135,11.214397496087637,2.565075296722977
everyday jewelry,763707,40337,11.330366492146597,5.2817376297454395
exquisite jewelry,751322,24050,11.066110183639399,3.201024327784891
fall jewelry,838676,60341,10.91116427432217,7.194792744754828
fashion brooches,729185,23775,11.111793214862681,3.260489450550957
fashion jewelry for women,873062,28782,11.021341463414634,3.296673088509178
fashionable jewelry,960979,29749,11.000312989045383,3.095697200459115
festival jewelry,700191,35346,11.233889816360602,5.048051174608071
formal jewelry,981486,40491,11.041013824884793,4.125479120435747
funky jewelry,797007,25137,11.251158940397351,3.1539246204863947
gemstone jewelry,733520,25005,10.882252559726963,3.4089050059984727
glamorous jewelry,766931,21099,11.165184049079754,2.751094948567733
hair accessories,1240223,53938,10.735660091047041,4.349056580953587
handcrafted jewelry,934360,41391,11.031597222222222,4.429877135151333
handmade jewelry,769258,24613,11.07920133111481,3.1995767349835815
holiday jewelry,710254,21583,11.180749574105622,3.0387720449304054
hoop earrings,988006,43190,11.038341158059469,4.371430942727068
huggie earrings,795791,25104,10.756228956228956,3.1545971241192725
initial jewelry,915160,31577,10.874474474474473,3.4504348966300973
jewelry sets,903143,31268,11.25453125,3.462131689001631
layered bracelets,698022,21847,11.466780238500851,3.1298440450300995
layered earrings,715787,19988,11.027655986509274,2.7924508268521224
layered jewelry,804570,29398,10.832012195121951,3.6538772263445067
layered necklaces,868298,37148,10.85704467353952,4.278254700575148
long necklaces,881686,34455,11.292207792207792,3.907853816438052
luxury jewelry,745692,25744,11.170888157894737,3.4523637104863667
midi rings,975111,52117,10.951892744479496,5.344724856965001
minimalist jewelry,721908,22828,11.574668874172186,3.1621757897128164
minimalistic jewelry,1141045,46586,11.22152466367713,4.08274870842079
mixed metal jewelry,896286,38075,10.652823920265782,4.248085990409312
modern jewelry,821240,35599,10.75032679738562,4.334786420534801
multi-strand necklaces,1074055,47426,11.073692810457517,4.4156025529418885
nature-inspired jewelry,767188,40613,11.385945072697899,5.293748077394329
office jewelry,808246,24349,10.544763513513514,3.01257290478394
party jewelry,853204,25470,11.08120184899846,2.985218072114055
pearl jewelry,749557,33825,11.037099494097808,4.51266548107749
pendant necklaces,866898,27655,11.166229508196722,3.1901100244780816
personalized jewelry,698682,21985,11.633666666666667,3.146638957351127
religious jewelry,883529,30457,10.95643879173291,3.4471986771232186
renaissance jewelry,840036,27908,10.857952755905512,3.3222385707279214
retro jewelry,915480,51975,11.168659127625201,5.677349587101848
rhinestone jewelry,830230,37610,11.039674796747967,4.5300699806077835
seashell jewelry,1037354,51751,10.769206842923795,4.988750224127926
seasonal jewelry,871857,39175,10.856716417910448,4.493282728704363
sophisticated jewelry,718652,19271,11.055344827586207,2.6815482319676285
spring jewelry,884502,35381,10.573287671232878,4.0001040133317955
stackable bracelets,726741,28149,11.24517766497462,3.873319380632165
statement jewelry,776326,21895,10.854383116883117,2.820335786769991
statement necklaces,673340,38379,10.965946843853821,5.699795051534143
statement pins,833558,33311,11.216996699669966,3.996242612991537
statement rings,888250,28232,11.030983606557376,3.17838446383338
stud earrings,801025,27209,11.203625377643505,3.3967728847414254
summer jewelry,714663,26379,10.987889273356402,3.6911103555102196
tassel earrings,845147,31534,10.89243156199678,3.7311852257654583
threader earrings,948520,51226,10.938245033112583,5.400624130223928
toe rings,682790,18375,11.091433278418451,2.691164193968863
trendy and timeless jewelry,868678,29666,10.905732484076433,3.415074400410739
trendy jewelry,1004225,31439,10.679289026275116,3.13067290696806
tribal jewelry,815765,30286,11.16,3.7125887970187494
unique and trendy jewelry,781990,36581,10.920347003154575,4.677937058018645
unique jewelry,931458,34029,11.284026622296173,3.6533048188968262
vibrant jewelry,929397,30374,10.913099041533547,3.2681405255235383
victorian jewelry,756412,26398,11.033614864864864,3.489897040237331
vintage jewelry,1018741,43858,10.677089783281733,4.305117787543645
vintage-inspired jewelry,825276,22411,10.98477564102564,2.7155763647555484
wedding jewelry,672751,18321,10.98733108108108,2.723295840511571
whimsical jewelry,686629,20806,11.359719789842382,3.0301662178556397
winter jewelry,835670,31290,10.831879194630872,3.7443009800519347
zodiac jewelry,749725,24537,11.511764705882353,3.272800026676448
