Top queries,Clicks,Impressions,CTR,Position,Position Group
sda housing ndis,0,105,0.0,81.06,51+
supported disability accommodation,0,105,0.0,81.42,51+
ndis medium term accommodation,0,103,0.0,34.83,21-50
support coordinator perth,0,103,0.0,39.69,21-50
disability and independent living,0,102,0.0,7.53,4-10
assisted living,0,100,0.0,66.86,51+
sda houses,0,100,0.0,71.59,51+
ndis living,0,100,0.0,77.04,51+
ndis housing,0,98,0.0,5.64,4-10
disability rental housing perth,0,97,0.0,37.76,21-50
independent living solutions,0,96,0.0,66.75,51+
disability support services perth,0,96,0.0,95.35,51+
independent living perth wa,0,95,0.0,37.01,21-50
ndis accommodation vacancies,0,93,0.0,20.75,21-50
sda apartments,0,93,0.0,41.94,21-50
ndis mental health perth,0,93,0.0,78.81,51+
independent living western australia,0,91,0.0,37.27,21-50
independent living homes,0,90,0.0,85.0,51+
ndis assisted living,0,89,0.0,47.9,21-50
independent living facilities near me,0,88,0.0,41.75,21-50
sil accomodation,0,88,0.0,63.57,51+
short term accommodation disability,0,85,0.0,44.29,21-50
independent living near me,0,84,0.0,29.64,21-50
long stay accommodation perth,0,84,0.0,59.51,51+
independent living disabled,0,83,0.0,6.19,4-10
freedom adelphi,0,82,0.0,38.05,21-50
atsa independent living expo,0,81,0.0,12.77,11-20
sda housing availability,0,80,0.0,74.36,51+
able living,0,80,0.0,91.24,51+
sda properties perth,0,79,0.0,17.75,11-20
assisted living apartments for disabled,0,78,0.0,84.33,51+
living in perth,0,78,0.0,88.68,51+
disability service provider perth,0,76,0.0,64.96,51+
sda houding ndis,0,76,0.0,82.0,51+
supported accommodation for people with disabilities,0,76,0.0,129.14,51+
disability apartments,0,75,0.0,57.39,51+
mental health housing wa,0,74,0.0,72.68,51+
housing disability perth,0,72,0.0,24.96,21-50
specialist disability accommodation providers,0,72,0.0,71.42,51+
sda perth,0,71,0.0,21.56,21-50
ndis sil rules,0,71,0.0,27.15,21-50
sil and sda,0,71,0.0,27.25,21-50
disability home care perth,0,71,0.0,59.2,51+
disability home care,0,71,0.0,71.34,51+
specialist support coordination perth,0,70,0.0,64.71,51+
ndis properties perth,0,69,0.0,16.0,11-20
housing for people with disabilities perth,0,69,0.0,33.7,21-50
specialist disability housing perth,0,66,0.0,17.03,11-20
disability housing options perth,0,66,0.0,26.26,21-50
ndis sda properties perth,0,64,0.0,13.86,11-20
respite short term accommodation,0,61,0.0,55.9,51+
sda participants,0,61,0.0,75.92,51+
sil funding ndis,0,60,0.0,46.03,21-50
long term accommodation perth,0,60,0.0,49.58,21-50
disability residential homes,0,59,0.0,1.0,Top 3
physical disability housing perth,0,59,0.0,15.9,11-20
disability housing solutions perth,0,59,0.0,29.0,21-50
independent living expo,0,58,0.0,13.62,11-20
alchera living,0,58,0.0,83.05,51+
respite care perth wa,0,57,0.0,89.68,51+
disability apartments perth,0,56,0.0,19.34,11-20
ndis sil providers,0,56,0.0,71.61,51+
sil ndis funding,0,55,0.0,46.89,21-50
supported independent living disability,0,55,0.0,74.67,51+
supported accommodation,0,55,0.0,83.96,51+
ndis accommodation provider,0,54,0.0,17.65,11-20
independent living center perth,0,53,0.0,81.55,51+
it provider perth,0,53,0.0,83.38,51+
ndis provider,0,52,0.0,2.9,Top 3
perth disability renovation,0,52,0.0,35.83,21-50
short term accommodation,0,50,0.0,56.24,51+
erskine accommodation,0,49,0.0,81.43,51+
housing for the disabled,0,48,0.0,74.15,51+
perth disability services,0,47,0.0,75.68,51+
sil disability housing,0,46,0.0,4.65,4-10
sda providers,0,46,0.0,5.7,4-10
sda wa,0,46,0.0,29.76,21-50
atsa,0,44,0.0,34.57,21-50
sda,0,44,0.0,58.55,51+
supported living ndis,0,44,0.0,65.66,51+
disability solutions for independent living,0,44,0.0,79.73,51+
sda providers victoria,0,43,0.0,68.84,51+
disabled accommodation perth,0,42,0.0,39.26,21-50
howard accommodation,0,42,0.0,87.0,51+
disabled persons housing service,0,42,0.0,140.93,51+
sil services,0,41,0.0,2.95,Top 3
sda and sil,0,40,0.0,32.5,21-50
supported independant living facility,0,40,0.0,65.83,51+
disability home care services,0,39,0.0,101.56,51+
ndis supported accommodation,0,38,0.0,9.11,4-10
sda services,0,38,0.0,55.74,51+
maddington accommodation,0,38,0.0,90.11,51+
long term disability accommodation services,0,37,0.0,43.73,21-50
furnished accommodation perth,0,37,0.0,63.81,51+
perth disability service provider and participant connection expo 2021,0,36,0.0,10.53,11-20
ndis joondalup,0,36,0.0,70.31,51+
sil eligibility,0,35,0.0,48.17,21-50
independent living disability housing,0,34,0.0,78.41,51+
disabled living accommodation,0,34,0.0,87.76,51+
disability services,0,33,0.0,1.12,Top 3
atsa expo,0,33,0.0,19.18,11-20
sil sda,0,33,0.0,27.79,21-50
medium-term accommodation,0,33,0.0,30.76,21-50
ndis homes,0,33,0.0,61.79,51+
retirement living perth,0,33,0.0,81.03,51+
home for disabled,0,33,0.0,121.06,51+
adelphi apartments,0,32,0.0,41.91,21-50
national disability insurance scheme perth,0,32,0.0,70.72,51+
content living homes,0,32,0.0,72.75,51+
disability activities perth,0,32,0.0,95.59,51+
sda categories,0,31,0.0,35.45,21-50
respite accommodation ndis,0,30,0.0,42.4,21-50
perth living,0,30,0.0,58.53,51+
short term accommodation for disabled,0,30,0.0,60.2,51+
independent living products perth wa,0,30,0.0,74.27,51+
ndis mandurah,0,29,0.0,53.07,51+
disability care wa,0,29,0.0,96.0,51+
sda disability,0,28,0.0,4.07,4-10
ndis short term accommodation providers,0,28,0.0,31.25,21-50
sda payments,0,28,0.0,41.32,21-50
short term apartments perth wa,0,28,0.0,66.82,51+
ndis rockingham,0,28,0.0,70.07,51+
ndis sil eligibility,0,27,0.0,41.33,21-50
short stay accommodation perth,0,27,0.0,61.11,51+
perth short term accommodation,0,26,0.0,49.08,21-50
ndis sda rules,0,26,0.0,56.35,51+
specialist disability accommodation,0,26,0.0,76.96,51+
ndis support perth,0,26,0.0,79.19,51+
respite,0,25,0.0,75.36,51+
howlong accommodation,0,25,0.0,79.4,51+
adelphi apartments echuca,0,25,0.0,84.72,51+
disability perth,0,25,0.0,89.88,51+
sil perth,0,24,0.0,1.17,Top 3
adelphi perth,0,24,0.0,10.62,11-20
share accommodation perth,0,24,0.0,64.75,51+
specialised disability accommodation,0,24,0.0,79.83,51+
sil supports,0,24,0.0,82.33,51+
serviced apartments perth,0,24,0.0,95.88,51+
the adelphi,0,23,0.0,39.43,21-50
what are the ndis supported indepented living,0,23,0.0,106.65,51+
adelphi hotel perth,0,21,0.0,29.76,21-50
approved ndis providers in perth,0,21,0.0,44.81,21-50
sda home,0,20,0.0,72.3,51+
perth apartments short stay,0,20,0.0,89.6,51+
aussie living homes,0,20,0.0,90.5,51+
altum living,0,20,0.0,93.0,51+
what is sda ndis,0,19,0.0,41.47,21-50
ndis short term accommodation providers melbourne,0,19,0.0,51.84,51+
sda contact,0,19,0.0,56.32,51+
respite ndis,0,19,0.0,70.16,51+
perth convention centre accommodation,0,19,0.0,73.11,51+
what is sil,0,19,0.0,88.58,51+
disability housing wa,0,18,0.0,29.67,21-50
perth expo,0,18,0.0,47.89,21-50
ndis sil provider,0,18,0.0,73.0,51+
disabled living apartments,0,18,0.0,75.22,51+
ndis bunbury,0,18,0.0,87.22,51+
disability living support,0,17,0.0,1.0,Top 3
ndis contact number,0,17,0.0,2.24,Top 3
mental health supported accommodation perth,0,17,0.0,53.53,51+
sda housing providers,0,17,0.0,56.59,51+
sil supported independent living,0,17,0.0,83.65,51+
ndis specialist disability accommodation,0,17,0.0,96.29,51+
worker accommodation,0,16,0.0,3.75,4-10
short term accomodation ndis,0,16,0.0,30.94,21-50
short stay disability accommodation,0,16,0.0,39.38,21-50
sil funding,0,16,0.0,82.31,51+
ndis number,0,15,0.0,2.93,Top 3
high physical support sda,0,15,0.0,38.13,21-50
robust housing,0,15,0.0,42.8,21-50
disability group homes,0,15,0.0,69.2,51+
supported independent living provider,0,15,0.0,76.27,51+
ndis housing provider,0,15,0.0,90.93,51+
ndis service providers wa,0,14,0.0,1.79,Top 3
supported independent living accommodation,0,14,0.0,51.29,51+
adventist senior living,0,14,0.0,71.0,51+
ndis air conditioning,0,14,0.0,73.43,51+
independent living services for the disabled,0,14,0.0,185.64,51+
ndis short term accommodation clarmore,0,13,0.0,6.38,4-10
live your potential expo,0,13,0.0,6.69,4-10
disability service provider and participant connection expo 2021,0,13,0.0,11.54,11-20
disability care perth,0,13,0.0,56.85,51+
ndis housing providers,0,13,0.0,74.08,51+
it providers perth,0,13,0.0,83.38,51+
ndis home and living,0,12,0.0,4.17,4-10
ndis wa,0,12,0.0,18.83,11-20
what is sil ndis,0,12,0.0,22.0,21-50
support coordinators perth,0,12,0.0,41.58,21-50
surgical house perth,0,12,0.0,53.75,51+
perth share accommodation,0,12,0.0,57.42,51+
wheelchair accessible accommodation perth,0,12,0.0,73.5,51+
share accommodation in perth,0,12,0.0,83.17,51+
supported disability accommodation ndis,0,12,0.0,83.83,51+
adelphi beauty,0,11,0.0,3.27,4-10
"perth disability service provider and participant connection expo 2021, 
perth convention and exhibition centre, 11 june",0,11,0.0,10.0,4-10
disability service provider and participant connection expo,0,11,0.0,12.0,11-20
ndis sil funding,0,11,0.0,59.82,51+
short stay rentals perth,0,11,0.0,79.45,51+
short stay apartments perth,0,11,0.0,88.45,51+
disability,0,10,0.0,1.4,Top 3
adelphi house,0,10,0.0,3.0,Top 3
ndis apartments,0,10,0.0,7.2,4-10
ndis sil and sda,0,10,0.0,21.7,21-50
sil logo,0,10,0.0,31.8,21-50
robust sda,0,10,0.0,38.5,21-50
ndis tablet,0,10,0.0,61.7,51+
accessible accommodation perth,0,10,0.0,80.9,51+
community living perth,0,10,0.0,81.9,51+
respite care in perth,0,10,0.0,96.0,51+
workers accommodation,0,9,0.0,1.0,Top 3
abilities expo perth 2021,0,9,0.0,6.67,4-10
sda funding,0,9,0.0,18.33,11-20
howard emery,0,9,0.0,23.33,21-50
ndis short term accomodation,0,9,0.0,24.44,21-50
ndis locations,0,9,0.0,47.0,21-50
sda funding ndis,0,9,0.0,49.44,21-50
get building sda,0,9,0.0,50.0,21-50
specialist disability accommodation providers victoria,0,9,0.0,53.89,51+
share accomodation perth,0,9,0.0,62.11,51+
ndis short term accommodation mental health,0,9,0.0,78.22,51+
independent builders perth,0,9,0.0,85.89,51+
disability organisations perth,0,9,0.0,88.22,51+
ndis service providers,0,8,0.0,3.75,4-10
home and living ndis,0,8,0.0,5.0,4-10
ndis accommodation support,0,8,0.0,8.12,4-10
ndis short term accommodation providers victoria,0,8,0.0,56.0,51+
ndis short term accommodation rules,0,8,0.0,56.5,51+
contact sda,0,8,0.0,57.75,51+
sil house,0,8,0.0,61.38,51+
sil ltd,0,8,0.0,64.0,51+
south perth short term accommodation,0,8,0.0,66.12,51+
long term serviced apartments perth,0,8,0.0,68.62,51+
medium term accommodation providers,0,8,0.0,73.0,51+
home and living expo,0,8,0.0,75.0,51+
short term apartments perth,0,8,0.0,80.25,51+
living in perth wa,0,8,0.0,84.62,51+
it provider,0,8,0.0,86.0,51+
medium perth,0,8,0.0,88.5,51+
ndis housing solutions,0,8,0.0,94.0,51+
disability support perth,0,8,0.0,104.12,51+
supported independent living wa,0,7,0.0,17.71,11-20
ndis service providers near me,0,7,0.0,22.29,21-50
sda solutions,0,7,0.0,24.43,21-50
sda and sil ndis,0,7,0.0,30.43,21-50
disability respite houses,0,7,0.0,44.86,21-50
fully accessible sda,0,7,0.0,53.43,51+
sda access,0,7,0.0,74.14,51+
specialist disability accommodation ndis,0,7,0.0,74.86,51+
retirement living wa,0,7,0.0,78.14,51+
adelphi insurance,0,7,0.0,81.14,51+
independent living disability,0,7,0.0,89.43,51+
independent living centre mandurah,0,7,0.0,93.14,51+
service apartment perth,0,7,0.0,93.43,51+
ndis provider registration wa,0,7,0.0,96.71,51+
living independently,0,6,0.0,1.0,Top 3
sdas,0,6,0.0,3.5,4-10
independant living,0,6,0.0,4.33,4-10
sda approved builders perth,0,6,0.0,9.5,4-10
short term disability accommodation,0,6,0.0,13.0,11-20
specialist disability accommodation services,0,6,0.0,14.33,11-20
ndis provider near me,0,6,0.0,21.33,21-50
assisted living mandurah,0,6,0.0,33.17,21-50
ndia sil,0,6,0.0,35.17,21-50
short term accomodation perth,0,6,0.0,41.17,21-50
sil support,0,6,0.0,55.0,51+
alioth independents,0,6,0.0,61.17,51+
handicap assisted living,0,6,0.0,64.5,51+
short term stay perth,0,6,0.0,66.83,51+
serviced apartments perth long term,0,6,0.0,70.67,51+
short term rental perth,0,6,0.0,74.5,51+
open homes perth,0,6,0.0,79.5,51+
disability housing providers,0,6,0.0,81.17,51+
sda approved housing,0,6,0.0,91.17,51+
short term respite care,0,6,0.0,91.17,51+
perth short stay apartments,0,6,0.0,92.0,51+
sil living,0,5,0.0,1.6,Top 3
disability living,0,5,0.0,1.8,Top 3
ndis phone number,0,5,0.0,2.0,Top 3
aldelphi,0,5,0.0,2.4,Top 3
supported independent living homes,0,5,0.0,6.0,4-10
adelphi menu,0,5,0.0,25.4,21-50
sil disability,0,5,0.0,31.2,21-50
medium stay accommodation,0,5,0.0,31.4,21-50
sil houses,0,5,0.0,34.0,21-50
ndis short term accommodation rates,0,5,0.0,36.0,21-50
disability accomodation,0,5,0.0,37.8,21-50
ndis short term accommodation and assistance,0,5,0.0,37.8,21-50
avendelle assisted living,0,5,0.0,50.2,51+
independent living centre perth,0,5,0.0,51.0,51+
mental health accommodation perth,0,5,0.0,51.4,51+
sda ndis rules,0,5,0.0,55.0,51+
independent living accommodation,0,5,0.0,58.0,51+
long stay accommodation perth cbd,0,5,0.0,58.8,51+
living wa,0,5,0.0,60.6,51+
sil homes,0,5,0.0,66.8,51+
disability services mandurah,0,5,0.0,70.4,51+
sda aged care,0,5,0.0,72.2,51+
logo adelphi,0,5,0.0,79.4,51+
shared accommodation,0,5,0.0,81.8,51+
long term accommodation rockingham,0,5,0.0,87.4,51+
disability housing solutions brisbane,0,5,0.0,91.0,51+
clairvoyant perth,0,5,0.0,92.2,51+
cheap serviced apartments perth,0,5,0.0,93.0,51+
disabled living near me,0,4,0.0,1.0,Top 3
aldephi,0,4,0.0,1.5,Top 3
sda approved builders,0,4,0.0,1.75,Top 3
ndis disability support,0,4,0.0,2.0,Top 3
sda housing qld,0,4,0.0,2.5,Top 3
housing ndis,0,4,0.0,3.0,Top 3
ndis renovations perth,0,4,0.0,3.75,4-10
ndis support,0,4,0.0,3.75,4-10
abilities expo,0,4,0.0,8.75,4-10
sda sil,0,4,0.0,19.5,11-20
disability homes near me,0,4,0.0,22.0,21-50
improved liveability sda,0,4,0.0,28.0,21-50
27 adelphi road claremont,0,4,0.0,35.75,21-50
living expo,0,4,0.0,37.25,21-50
sda robust,0,4,0.0,38.0,21-50
living in wa,0,4,0.0,39.0,21-50
ndis expo,0,4,0.0,41.5,21-50
sda levels ndis,0,4,0.0,46.0,21-50
ndis supported living,0,4,0.0,51.75,51+
short term accommodation perth wa,0,4,0.0,52.25,51+
sil assessment ndis,0,4,0.0,56.75,51+
short stay perth,0,4,0.0,58.75,51+
difference between sil and sda,0,4,0.0,59.0,51+
what does sil include,0,4,0.0,59.5,51+
sda virtual room,0,4,0.0,63.0,51+
improved living solutions,0,4,0.0,64.75,51+
independant living solutions,0,4,0.0,65.75,51+
home expo perth,0,4,0.0,67.5,51+
disability respite,0,4,0.0,75.5,51+
air adelphi,0,4,0.0,76.0,51+
possibility disability services,0,4,0.0,76.25,51+
adelphi group,0,4,0.0,77.25,51+
home assist wa,0,4,0.0,79.25,51+
supports sil,0,4,0.0,92.25,51+
s&a living,0,4,0.0,94.0,51+
ndis wa contact,0,4,0.0,94.75,51+
disability centre,0,3,0.0,1.0,Top 3
disability facility near me,0,3,0.0,1.0,Top 3
disability service,0,3,0.0,1.0,Top 3
disability service provider,0,3,0.0,1.0,Top 3
sil accommodation ndis,0,3,0.0,4.33,4-10
ndis houses,0,3,0.0,5.0,4-10
wa ndis,0,3,0.0,5.0,4-10
ndis accommodation perth,0,3,0.0,8.0,4-10
developing australian communities expo,0,3,0.0,12.67,11-20
sda high physical support,0,3,0.0,27.0,21-50
what is ndis sil,0,3,0.0,27.0,21-50
improved livability,0,3,0.0,29.0,21-50
ndis medium term accommodation providers,0,3,0.0,29.33,21-50
temporary accommodation perth,0,3,0.0,37.67,21-50
howard livings,0,3,0.0,40.0,21-50
sda care,0,3,0.0,46.67,21-50
ndis sda eligibility,0,3,0.0,49.0,21-50
short stays perth,0,3,0.0,50.33,51+
short term accommodation in perth,0,3,0.0,50.33,51+
independence living,0,3,0.0,54.0,51+
adelphi care services,0,3,0.0,55.0,51+
independent living centres australia,0,3,0.0,55.0,51+
short term rentals perth wa,0,3,0.0,55.67,51+
perth short stay accommodation,0,3,0.0,56.33,51+
live in treeby,0,3,0.0,59.0,51+
disability housing solutions,0,3,0.0,59.67,51+
independent living centre wa,0,3,0.0,65.0,51+
ndis accomodation,0,3,0.0,65.33,51+
shared supported accommodation disability services,0,3,0.0,68.33,51+
independant living specialists,0,3,0.0,75.67,51+
accommodation perth region,0,3,0.0,76.0,51+
adelphi logo,0,3,0.0,77.33,51+
connection perth,0,3,0.0,78.33,51+
short term accommodation mandurah,0,3,0.0,78.67,51+
"supported independent living ndis, supported independent living vacancies, 
supported independent living sil",0,3,0.0,80.67,51+
perth beauty expo,0,3,0.0,82.33,51+
independent living equipment perth,0,3,0.0,86.33,51+
ndis living assistance,0,3,0.0,89.0,51+
homes west joondalup,0,3,0.0,89.33,51+
perth serviced accommodation,0,3,0.0,90.33,51+
sda logo,0,3,0.0,91.67,51+
perth exhibitions,0,3,0.0,92.67,51+
perth serviced apartment deal,0,3,0.0,93.33,51+
shared accommodation perth,0,3,0.0,96.0,51+
exhibitions perth,0,3,0.0,99.33,51+
intellectual disability accommodation,0,3,0.0,123.67,51+
diability services,0,2,0.0,1.0,Top 3
disability facility,0,2,0.0,1.0,Top 3
housing support,0,2,0.0,1.0,Top 3
independent support services,0,2,0.0,1.0,Top 3
living,0,2,0.0,1.0,Top 3
ndis support workers near me,0,2,0.0,1.0,Top 3
support independent living,0,2,0.0,1.0,Top 3
disability home,0,2,0.0,1.5,Top 3
ndis disability services,0,2,0.0,1.5,Top 3
independent supported living,0,2,0.0,2.0,Top 3
ndis home care,0,2,0.0,2.0,Top 3
sil insurance,0,2,0.0,2.0,Top 3
call ndis,0,2,0.0,2.5,Top 3
disability support work,0,2,0.0,3.0,Top 3
disability support worker,0,2,0.0,3.0,Top 3
independent living facilities for disabled,0,2,0.0,3.0,Top 3
ndis home,0,2,0.0,3.0,Top 3
sda accomodation,0,2,0.0,3.0,Top 3
supported independant living,0,2,0.0,3.0,Top 3
ndis providers,0,2,0.0,3.5,4-10
ndis supplier,0,2,0.0,3.5,4-10
organisation,0,2,0.0,5.5,4-10
in home support ndis,0,2,0.0,6.5,4-10
medium term accomodation ndis,0,2,0.0,9.5,4-10
sil payments,0,2,0.0,10.0,4-10
disability expo perth 2021,0,2,0.0,14.0,11-20
adelphi freedom,0,2,0.0,22.5,21-50
sil ndia,0,2,0.0,24.0,21-50
disability expo perth,0,2,0.0,24.5,21-50
sda robust housing,0,2,0.0,28.5,21-50
connect expo,0,2,0.0,34.0,21-50
sda assessments,0,2,0.0,38.0,21-50
adelphi employment,0,2,0.0,38.5,21-50
apartments for people with disabilities,0,2,0.0,43.0,21-50
building ndis housing,0,2,0.0,44.0,21-50
now living,0,2,0.0,44.0,21-50
perth home expo,0,2,0.0,44.0,21-50
short term accommodation south perth,0,2,0.0,44.5,21-50
sda western australia,0,2,0.0,45.0,21-50
independent living ndis,0,2,0.0,46.0,21-50
nitropack scam,0,2,0.0,46.5,21-50
adelphi springs,0,2,0.0,47.0,21-50
independent living centre joondalup,0,2,0.0,47.5,21-50
disability services wa,0,2,0.0,49.5,21-50
disability independent living,0,2,0.0,50.0,21-50
ailfe perth,0,2,0.0,52.0,51+
living and working in perth,0,2,0.0,55.5,51+
short term lease perth,0,2,0.0,58.0,51+
living perth,0,2,0.0,64.0,51+
independent events perth,0,2,0.0,64.5,51+
short term apartment rental perth,0,2,0.0,64.5,51+
independent living centre,0,2,0.0,66.5,51+
short term rentals perth,0,2,0.0,68.0,51+
what is a sil,0,2,0.0,72.5,51+
individualised living options,0,2,0.0,76.0,51+
short term accomodation,0,2,0.0,76.0,51+
freedom adelphi table,0,2,0.0,76.5,51+
independent senior living,0,2,0.0,78.5,51+
ndis jobs perth wa,0,2,0.0,78.5,51+
independent assisted living,0,2,0.0,79.5,51+
independent and assisted living communities,0,2,0.0,80.0,51+
home modifications perth,0,2,0.0,83.0,51+
disability care,0,2,0.0,85.5,51+
in home respite care,0,2,0.0,86.5,51+
sda design categories,0,2,0.0,86.5,51+
access housing mandurah,0,2,0.0,88.5,51+
living houses,0,2,0.0,89.0,51+
access housing perth,0,2,0.0,89.5,51+
what is sda funding,0,2,0.0,89.5,51+
participant,0,2,0.0,93.5,51+
short stay apartments,0,2,0.0,93.5,51+
independent living facilities,0,2,0.0,94.5,51+
simple approach perth,0,2,0.0,94.5,51+
disability services midland,0,2,0.0,95.5,51+
perth disability,0,2,0.0,96.0,51+
independent living home,0,2,0.0,98.5,51+
ndis provider logo,0,2,0.0,99.5,51+
serviced accommodation perth,0,2,0.0,99.5,51+
ndis accommodation providers,0,2,0.0,100.0,51+
sda eligibility,0,2,0.0,100.5,51+
respite care services perth,0,2,0.0,101.5,51+
homes for disabled,0,2,0.0,102.5,51+
independent care solution,0,2,0.0,179.5,51+
adelphi house assisted living,0,1,0.0,1.0,Top 3
adlephi,0,1,0.0,1.0,Top 3
disability care center,0,1,0.0,1.0,Top 3
disability care facility,0,1,0.0,1.0,Top 3
disability care homes,0,1,0.0,1.0,Top 3
disability holiday accommodation,0,1,0.0,1.0,Top 3
disability houses,0,1,0.0,1.0,Top 3
disability support worker agencies,0,1,0.0,1.0,Top 3
disability supported accommodation,0,1,0.0,1.0,Top 3
disability supported living,0,1,0.0,1.0,Top 3
flexible living,0,1,0.0,1.0,Top 3
indepedent living,0,1,0.0,1.0,Top 3
independent disability,0,1,0.0,1.0,Top 3
independent housing,0,1,0.0,1.0,Top 3
independent living support,0,1,0.0,1.0,Top 3
independent living victoria,0,1,0.0,1.0,Top 3
indpendent living,0,1,0.0,1.0,Top 3
living support,0,1,0.0,1.0,Top 3
mason homes,0,1,0.0,1.0,Top 3
ndis aged care providers,0,1,0.0,1.0,Top 3
ndis disability housing,0,1,0.0,1.0,Top 3
ndis near me,0,1,0.0,1.0,Top 3
ndis provider in perth,0,1,0.0,1.0,Top 3
ndis service,0,1,0.0,1.0,Top 3
residential disability care facility,0,1,0.0,1.0,Top 3
support living accommodation,0,1,0.0,1.0,Top 3
support workers near me,0,1,0.0,1.0,Top 3
supported living accomodation,0,1,0.0,1.0,Top 3
supported living homes,0,1,0.0,1.0,Top 3
supported living provider,0,1,0.0,1.0,Top 3
